1;00075699  
2;00075700  
3;00075701  
4;00075702  
5;00075703  
6;00075704  
7;00075705  
8;00075706  
9;00075707  
10;00075708  
11;00075709  
12;00075710  
13;00075711  
14;00075712  
15;00075713  
16;00075714  
17;00075715  
18;00075716  
19;00075717  
20;00075718  
21;00075719  
22;00075720  
23;00075721  
24;00075722  
25;00075723  
26;00075724  
27;00075725  
28;00075726  
29;00075727  
30;00075728  
31;00075729  
32;00075730  
33;00075731  
34;00075732  
35;00075733  
36;00075734  
37;00075735  
38;00075736  
39;00075737  
40;00075738  
41;00075739  
42;00075740  
43;00075741  
44;00075742  
45;00075743  
46;00075744  
47;00075745  
48;00075746  
49;00075747  
50;00075748  
51;00075749  
52;00075750  
53;00075751  
54;00075752  
55;00075753  
56;00075754  
57;00075755  
58;00075756  
59;00075757  
60;00075758  
61;00075759  
62;00075760  
63;00075761  
64;00075762  
65;00075763  
66;00075764  
67;00075765  
68;00075766  
69;00075767  
70;00075768  
71;00075769  
72;00075770  
73;00075771  
74;00075772  
75;00075773  
76;00075774  
77;00075775  
78;00075776  
79;00075777  
80;00075778  
81;00075779  
82;00075780  
83;00075781  
84;00075782  
85;00075783  
86;00075784  
87;00075785  
88;00075786  
89;00075787  
90;00075788  
91;00075789  
92;00075790  
93;00075791  
94;00075792  
95;00075793  
